annee,mois,regroupement2,valeur_tot_mg_fr,valeur_moy,indice_isee,indice_mg,quotas_date_debut,quotas_date_fin,quotas_contingent_t,quotas_realise_t,regroupement1,date_arrondie,besoin_marche_t,type_max,cyclone,nom,name,value
2019,6,TOTAL LEGUMES,49069836,353.88717185365164,95.67346831781236,NA,NA,NA,NA,0,Total legumes,2019-06-01,582,NA,NA,NA,"Besoin estimé
du marché",582000
2019,7,TOTAL LEGUMES,57352665.8,336.2286095849133,96.0082836050138,NA,NA,NA,NA,0,Total legumes,2019-07-01,737,NA,NA,NA,"Volume déclaré
commercialisé par
les producteurs",933797.9
2019,7,TOTAL LEGUMES,57352665.8,336.2286095849133,96.0082836050138,NA,NA,NA,NA,0,Total legumes,2019-07-01,737,NA,NA,NA,"Volume écoulé par
le marché de gros",170576.4
2019,7,TOTAL LEGUMES,57352665.8,336.2286095849133,96.0082836050138,NA,NA,NA,NA,0,Total legumes,2019-07-01,737,NA,NA,NA,"Besoin estimé
du marché",737000
2020,10,TOTAL LEGUMES,74307282,251.54851189445503,83.6236829720494,68.74201365632344,NA,NA,NA,0,Total legumes,2020-10-01,737,NA,NA,NA,"Volume déclaré
commercialisé par
les producteurs",1044939
2020,10,TOTAL LEGUMES,74307282,251.54851189445503,83.6236829720494,68.74201365632344,NA,NA,NA,0,Total legumes,2020-10-01,737,NA,NA,NA,"Volume écoulé par
le marché de gros",295399.41
2020,10,TOTAL LEGUMES,74307282,251.54851189445503,83.6236829720494,68.74201365632344,NA,NA,NA,0,Total legumes,2020-10-01,737,NA,NA,NA,"Besoin estimé
du marché",737000
2021,12,TOTAL LEGUMES,69048504,368.1268102514955,100,91.91063402845369,2021-12-16,2022-01-15,678.5999999999999,1385.5889999999995,Total legumes,2021-12-01,724,NA,NA,NA,"Volume déclaré
commercialisé par
les producteurs",506298
2021,12,TOTAL LEGUMES,69048504,368.1268102514955,100,91.91063402845369,2021-12-16,2022-01-15,678.5999999999999,1385.5889999999995,Total legumes,2021-12-01,724,NA,NA,NA,"Volume écoulé par
le marché de gros",187567.17
2021,12,TOTAL LEGUMES,69048504,368.1268102514955,100,91.91063402845369,2021-12-16,2022-01-15,678.5999999999999,1385.5889999999995,Total legumes,2021-12-01,724,NA,NA,NA,"Besoin estimé
du marché",724000
2021,12,TOTAL LEGUMES,69048504,368.1268102514955,100,91.91063402845369,2021-12-16,2022-01-15,678.5999999999999,1385.5889999999995,Total legumes,2021-12-01,724,NA,NA,NA,"Volumes importés
avec quotas",1385588.9999999995
2021,12,TOTAL LEGUMES,69048504,368.1268102514955,100,91.91063402845369,2021-12-16,2022-01-15,678.5999999999999,1385.5889999999995,Total legumes,2021-12-01,724,NA,NA,NA,Quotas autorisés,678599.9999999999
2021,4,TOTAL LEGUMES,76523921,523.3805188355695,125.9106879208049,134.6961664791013,2021-04-16,2021-05-15,1207.55,0,Total legumes,2021-04-01,609,NA,NA,NA,"Volume déclaré
commercialisé par
les producteurs",316173.4
2021,4,TOTAL LEGUMES,76523921,523.3805188355695,125.9106879208049,134.6961664791013,2021-04-16,2021-05-15,1207.55,0,Total legumes,2021-04-01,609,NA,NA,NA,"Volume écoulé par
le marché de gros",146210.87
2021,4,TOTAL LEGUMES,76523921,523.3805188355695,125.9106879208049,134.6961664791013,2021-04-16,2021-05-15,1207.55,0,Total legumes,2021-04-01,609,NA,NA,NA,"Besoin estimé
du marché",609000
2021,4,TOTAL LEGUMES,76523921,523.3805188355695,125.9106879208049,134.6961664791013,2021-04-16,2021-05-15,1207.55,0,Total legumes,2021-04-01,609,NA,NA,NA,Quotas autorisés,1207550
2022,2,TOTAL LEGUMES,57145556,526.7046765334773,131.3734246328611,128.4982611188432,2022-02-16,2022-03-15,1279.6500000000003,454.968,Total legumes,2022-02-01,751,"Cyclone tropical
intense","Dovi
(Cyclone
tropical
intense)",Dovi,"Volume déclaré
commercialisé par
les producteurs",328508.5
2022,2,TOTAL LEGUMES,57145556,526.7046765334773,131.3734246328611,128.4982611188432,2022-02-16,2022-03-15,1279.6500000000003,454.968,Total legumes,2022-02-01,751,"Cyclone tropical
intense","Dovi
(Cyclone
tropical
intense)",Dovi,"Volume écoulé par
le marché de gros",108496.39
2022,2,TOTAL LEGUMES,57145556,526.7046765334773,131.3734246328611,128.4982611188432,2022-02-16,2022-03-15,1279.6500000000003,454.968,Total legumes,2022-02-01,751,"Cyclone tropical
intense","Dovi
(Cyclone
tropical
intense)",Dovi,"Besoin estimé
du marché",751000
2022,2,TOTAL LEGUMES,57145556,526.7046765334773,131.3734246328611,128.4982611188432,2022-02-16,2022-03-15,1279.6500000000003,454.968,Total legumes,2022-02-01,751,"Cyclone tropical
intense","Dovi
(Cyclone
tropical
intense)",Dovi,"Volumes importés
avec quotas",454968
2022,2,TOTAL LEGUMES,57145556,526.7046765334773,131.3734246328611,128.4982611188432,2022-02-16,2022-03-15,1279.6500000000003,454.968,Total legumes,2022-02-01,751,"Cyclone tropical
intense","Dovi
(Cyclone
tropical
intense)",Dovi,Quotas autorisés,1279650.0000000002
2022,4,TOTAL LEGUMES,52174405,540.1577578875061,133.74250922475994,147,2022-04-16,2022-05-15,993.29,366.8769999999999,Total legumes,2022-04-01,751,NA,NA,NA,"Volume déclaré
commercialisé par
les producteurs",353177.1
