annee,date_arrondie,sous_famille,categorie,prix_moyen
2015,2015-07-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
2015,2015-09-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
2015,2015-10-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
2015,2015-12-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
2016,2016-01-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
2016,2016-02-01,agrume,Prix moyen du produit local en magasin,436.53846153846155
2016,2016-02-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
2016,2016-03-01,agrume,Prix moyen du produit local en magasin,464
2016,2016-03-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
2016,2016-04-01,agrume,Prix moyen du produit local en magasin,466.4583333333333
2016,2016-04-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
2016,2016-05-01,agrume,Prix moyen du produit local en magasin,464
2016,2016-05-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
2016,2016-06-01,agrume,Prix moyen du produit local en magasin,467.10526315789474
2016,2016-06-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
2016,2016-07-01,agrume,Prix moyen du produit local en magasin,504.7916666666667
2016,2016-07-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
2016,2016-08-01,agrume,Prix moyen du produit local en magasin,510
2016,2016-08-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
2016,2016-09-01,agrume,Prix moyen du produit local en magasin,539
2016,2016-09-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
2016,2016-10-01,agrume,Prix moyen du produit local en magasin,528.695652173913
2016,2016-10-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
2016,2016-11-01,agrume,Prix moyen du produit local en magasin,525.8333333333334
2016,2016-11-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
2016,2016-12-01,agrume,Prix moyen du produit local en magasin,530.8064516129032
2016,2016-12-01,"aubergine, courgette, poivron",Prix moyen du produit local en magasin,663.3333333333334
2016,2016-12-01,"carotte, pomme de terre",Prix moyen du produit local en magasin,730
2016,2016-12-01,"chou, poireau, navet, céleri",Prix moyen du produit local en magasin,395
2016,2016-12-01,"concombre, avocat, betterave, radis",Prix moyen du produit local en magasin,330
2016,2016-12-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
2016,2016-12-01,"melon, pastèque",Prix moyen du produit local en magasin,560
2016,2016-12-01,salade et tomate,Prix moyen du produit local en magasin,595
2017,2017-01-01,"abricot, pêche, nectarine, prune",Prix moyen du produit importé en magasin,595
2017,2017-01-01,agrume,Prix moyen du produit importé en magasin,495
2017,2017-01-01,agrume,Prix moyen du produit local en magasin,471.79245283018867
2017,2017-01-01,"ail, oignon, échalote",Prix moyen du produit importé en magasin,362.7878787878788
2017,2017-01-01,"ail, oignon, échalote",Prix moyen du produit local en magasin,263.47727272727275
2017,2017-01-01,"aubergine, courgette, poivron",Prix moyen du produit importé en magasin,968.4905660377359
2017,2017-01-01,"aubergine, courgette, poivron",Prix moyen du produit local en magasin,767.4305555555555
2017,2017-01-01,"banane, kiwi",Prix moyen du produit local en magasin,700
2017,2017-01-01,"carotte, pomme de terre",Prix moyen du produit importé en magasin,388.84615384615387
2017,2017-01-01,"carotte, pomme de terre",Prix moyen du produit local en magasin,452.34285714285716
2017,2017-01-01,"chou, poireau, navet, céleri",Prix moyen du produit importé en magasin,622.6315789473684
2017,2017-01-01,"chou, poireau, navet, céleri",Prix moyen du produit local en magasin,592.5274725274726
2017,2017-01-01,"concombre, avocat, betterave, radis",Prix moyen du produit importé en magasin,396.741935483871
2017,2017-01-01,"concombre, avocat, betterave, radis",Prix moyen du produit local en magasin,434.11764705882354
2017,2017-01-01,fruit exotique,Prix moyen du produit local en magasin,496.25
2017,2017-01-01,légume frais : autres,Prix moyen du produit local en magasin,351.53846153846155
2017,2017-01-01,"légume vert, asperge",Prix moyen du produit importé en magasin,879.6153846153846
2017,2017-01-01,"légume vert, asperge",Prix moyen du produit local en magasin,864.2307692307693
2017,2017-01-01,"melon, pastèque",Prix moyen du produit importé en magasin,486.4
2017,2017-01-01,"melon, pastèque",Prix moyen du produit local en magasin,678.0714285714286
2017,2017-01-01,salade et tomate,Prix moyen du produit importé en magasin,570.4285714285714
2017,2017-01-01,salade et tomate,Prix moyen du produit local en magasin,695.5357142857143
2017,2017-02-01,"abricot, pêche, nectarine, prune",Prix moyen du produit importé en magasin,595
2017,2017-02-01,agrume,Prix moyen du produit importé en magasin,511.80555555555554
2017,2017-02-01,agrume,Prix moyen du produit local en magasin,426.44444444444446
2017,2017-02-01,"ail, oignon, échalote",Prix moyen du produit importé en magasin,398.72727272727275
2017,2017-02-01,"ail, oignon, échalote",Prix moyen du produit local en magasin,254
2017,2017-02-01,"aubergine, courgette, poivron",Prix moyen du produit importé en magasin,890.4166666666666
2017,2017-02-01,"aubergine, courgette, poivron",Prix moyen du produit local en magasin,732.875
2017,2017-02-01,"banane, kiwi",Prix moyen du produit local en magasin,550.4
2017,2017-02-01,"carotte, pomme de terre",Prix moyen du produit importé en magasin,320.71153846153845
2017,2017-02-01,"carotte, pomme de terre",Prix moyen du produit local en magasin,442.990099009901
2017,2017-02-01,"chou, poireau, navet, céleri",Prix moyen du produit importé en magasin,552.6056338028169
2017,2017-02-01,"chou, poireau, navet, céleri",Prix moyen du produit local en magasin,549.8672566371681
2017,2017-02-01,"concombre, avocat, betterave, radis",Prix moyen du produit importé en magasin,363.2291666666667
2017,2017-02-01,"concombre, avocat, betterave, radis",Prix moyen du produit local en magasin,322.57142857142856
2017,2017-02-01,fruit exotique,Prix moyen du produit local en magasin,496.10759493670884
2017,2017-02-01,légume frais : autres,Prix moyen du produit local en magasin,350.8333333333333
2017,2017-02-01,"légume vert, asperge",Prix moyen du produit importé en magasin,803.3333333333334
2017,2017-02-01,"légume vert, asperge",Prix moyen du produit local en magasin,786.6666666666666
2017,2017-02-01,"melon, pastèque",Prix moyen du produit importé en magasin,535.2456140350877
2017,2017-02-01,"melon, pastèque",Prix moyen du produit local en magasin,586.8032786885246
2017,2017-02-01,salade et tomate,Prix moyen du produit local en magasin,580.8285714285714
2017,2017-03-01,agrume,Prix moyen du produit local en magasin,399.15
2017,2017-03-01,"ail, oignon, échalote",Prix moyen du produit importé en magasin,431.9736842105263
2017,2017-03-01,"ail, oignon, échalote",Prix moyen du produit local en magasin,264.1951219512195
2017,2017-03-01,"aubergine, courgette, poivron",Prix moyen du produit importé en magasin,949.0972222222222
2017,2017-03-01,"aubergine, courgette, poivron",Prix moyen du produit local en magasin,757.4624505928854
2017,2017-03-01,"banane, kiwi",Prix moyen du produit local en magasin,527.3970588235294
2017,2017-03-01,"carotte, pomme de terre",Prix moyen du produit importé en magasin,313.42857142857144
2017,2017-03-01,"carotte, pomme de terre",Prix moyen du produit local en magasin,460.62595419847327
2017,2017-03-01,"chou, poireau, navet, céleri",Prix moyen du produit importé en magasin,603.2042253521126
2017,2017-03-01,"chou, poireau, navet, céleri",Prix moyen du produit local en magasin,620.5224719101124
2017,2017-03-01,"concombre, avocat, betterave, radis",Prix moyen du produit importé en magasin,386.1458333333333
2017,2017-03-01,"concombre, avocat, betterave, radis",Prix moyen du produit local en magasin,321.4972972972973
2017,2017-03-01,fruit exotique,Prix moyen du produit local en magasin,541.1496062992126
2017,2017-03-01,légume frais : autres,Prix moyen du produit local en magasin,350.8333333333333
2017,2017-03-01,"légume vert, asperge",Prix moyen du produit importé en magasin,900.7291666666666
2017,2017-03-01,"légume vert, asperge",Prix moyen du produit local en magasin,884.0625
2017,2017-03-01,"melon, pastèque",Prix moyen du produit local en magasin,305.8
