Province,N_region,N_group_prod veget,N_productions vegetales,Animaux,Ceremonie,Conso,Dons_reguliers,Perdue,Semences,Total
Province Nord,Grand Nord,Autre,Autre produit végétal (à préciser),0,0,0,0,0,0,0
Province Nord,Grand Nord,Banane dessert,Banane dessert,12,190,436,208,258,0,1104
Province Nord,Grand Nord,Banane poingo,Banane poingo,10,100,126,80,46,0,362
Province Nord,Grand Nord,Cocotier,Cocotier,123,85,108,58,296,2,672
Province Nord,Grand Nord,Cultures spéciales,Café arabica,0,0,0,0,0,0,0
Province Nord,Grand Nord,Cultures spéciales,Canne à sucre,2,17,35,22,9,1,86
Province Nord,Grand Nord,Cultures spéciales,Citronnelle,0,0,0,0,0,0,0
Province Nord,Grand Nord,Cultures spéciales,Condiment et épices divers,0,0,0,0,0,0,0
Province Nord,Grand Nord,Cultures spéciales,Vanille,0,0,0,0,0,0,0
Province Nord,Grand Nord,Légume & fruit plein champ,Ambrevade,0,0,3,3,0,0,6
Province Nord,Grand Nord,Légume & fruit plein champ,Ananas,0,8,33,24,16,0,81
Province Nord,Grand Nord,Légume & fruit plein champ,Brèdes,0,0,0,0,0,0,0
Province Nord,Grand Nord,Légume & fruit plein champ,Carotte,0,0,0,0,0,0,0
Province Nord,Grand Nord,Légume & fruit plein champ,Chou de chine,0,0,5,4,1,0,10
Province Nord,Grand Nord,Légume & fruit plein champ,Chou kanak,0,8,22,5,7,0,42
Province Nord,Grand Nord,Légume & fruit plein champ,Chou vert,0,0,6,3,0,0,9
Province Nord,Grand Nord,Légume & fruit plein champ,Chouchoute,1,6,30,16,12,3,68
Province Nord,Grand Nord,Légume & fruit plein champ,Citrouille,6,4,10,9,8,0,37
Province Nord,Grand Nord,Légume & fruit plein champ,Concombre,0,1,3,2,4,0,10
Province Nord,Grand Nord,Légume & fruit plein champ,Courgette,0,0,1,1,0,0,2
Province Nord,Grand Nord,Légume & fruit plein champ,Céleri,0,0,0,0,0,0,0
Province Nord,Grand Nord,Légume & fruit plein champ,Fines herbes,0,0,0,0,0,0,0
Province Nord,Grand Nord,Légume & fruit plein champ,Haricot toutes sortes,0,0,0,0,0,0,0
Province Nord,Grand Nord,Légume & fruit plein champ,Haricot vert,0,0,5,2,0,0,7
Province Nord,Grand Nord,Légume & fruit plein champ,Maïs doux,0,0,6,1,0,0,7
Province Nord,Grand Nord,Légume & fruit plein champ,Oignon vert,0,0,0,0,0,0,0
Province Nord,Grand Nord,Légume & fruit plein champ,Pastèque,0,0,5,2,1,0,8
Province Nord,Grand Nord,Légume & fruit plein champ,Persil,0,0,0,0,0,0,0
Province Nord,Grand Nord,Légume & fruit plein champ,Piment,0,0,0,0,0,0,0
Province Nord,Grand Nord,Légume & fruit plein champ,Poireau,0,0,0,0,0,0,0
Province Nord,Grand Nord,Légume & fruit plein champ,Poivron,0,0,0,0,0,0,0
Province Nord,Grand Nord,Légume & fruit plein champ,Pomme de terre,0,0,0,0,0,0,0
Province Nord,Grand Nord,Légume & fruit plein champ,Pomme liane,0,0,2,1,1,0,4
Province Nord,Grand Nord,Légume & fruit plein champ,Radis,0,0,0,0,0,0,0
Province Nord,Grand Nord,Légume & fruit plein champ,Salade,0,0,3,1,1,0,5
Province Nord,Grand Nord,Légume & fruit plein champ,Tomate,0,2,9,5,2,0,18
Province Nord,Grand Nord,Tubercule,Autre tubercule tropical (à préciser),0,1,0,0,0,1,2
Province Nord,Grand Nord,Tubercule,Igname de saison,0,189,185,111,39,190,714
Province Nord,Grand Nord,Tubercule,Manioc,4,76,197,66,69,3,415
Province Nord,Grand Nord,Tubercule,Patate douce,0,5,23,11,4,0,43
Province Nord,Grand Nord,Tubercule,Taro bourbon,0,0,2,1,0,0,3
Province Nord,Grand Nord,Tubercule,Taro d'eau,0,30,40,12,8,7,97
Province Nord,Grand Nord,Tubercule,Taro de montagne,0,13,56,22,5,7,103
Province Nord,Nord Est,Arbre fruitier,Autres fruits (à préciser),0,0,0,0,0,0,0
Province Nord,Nord Est,Arbre fruitier,Avocat,0,0,11,9,5,0,25
Province Nord,Nord Est,Arbre fruitier,Carambole,0,0,0,0,0,0,0
Province Nord,Nord Est,Arbre fruitier,Cerisier,0,0,0,0,0,0,0
Province Nord,Nord Est,Arbre fruitier,Citron et lime,0,4,27,15,21,0,67
Province Nord,Nord Est,Arbre fruitier,Combava,0,0,0,0,0,0,0
Province Nord,Nord Est,Arbre fruitier,Corossol,0,0,13,6,5,0,24
Province Nord,Nord Est,Arbre fruitier,Cœur de bœuf,0,0,1,1,0,0,2
Province Nord,Nord Est,Arbre fruitier,Fruit à pain,0,0,0,0,0,0,0
Province Nord,Nord Est,Arbre fruitier,Goyave,0,0,1,1,2,0,4
Province Nord,Nord Est,Arbre fruitier,Jacques,0,0,13,6,8,0,27
Province Nord,Nord Est,Arbre fruitier,Jamelonier,0,0,0,0,0,0,0
Province Nord,Nord Est,Arbre fruitier,Kaki,0,0,1,0,0,0,1
Province Nord,Nord Est,Arbre fruitier,Litchi,0,0,63,19,13,0,95
Province Nord,Nord Est,Arbre fruitier,Mandarine,0,0,37,11,7,0,55
Province Nord,Nord Est,Arbre fruitier,Mangue,30,2,51,37,46,0,166
Province Nord,Nord Est,Arbre fruitier,Murier,0,0,0,0,0,0,0
Province Nord,Nord Est,Arbre fruitier,Orange,0,0,26,9,15,0,50
Province Nord,Nord Est,Arbre fruitier,Pamplemousse,0,0,9,6,7,0,22
Province Nord,Nord Est,Arbre fruitier,Papaye,1,0,17,7,18,0,43
Province Nord,Nord Est,Arbre fruitier,Pomme cannelle,0,0,1,0,0,0,1
Province Nord,Nord Est,Arbre fruitier,Pomme citerne,1,0,5,3,7,0,16
Province Nord,Nord Est,Arbre fruitier,Pomme kanak,1,0,3,2,4,0,10
Province Nord,Nord Est,Arbre fruitier,Pomme rose,0,0,0,0,0,0,0
Province Nord,Nord Est,Arbre fruitier,Pêche,0,0,1,1,0,0,2
Province Nord,Nord Est,Arbre fruitier,Tamarin,0,0,0,0,0,0,0
Province Nord,Nord Est,Banane dessert,Banane dessert,4,250,381,184,121,0,940
Province Nord,Nord Est,Banane poingo,Banane poingo,2,68,85,35,20,0,210
Province Nord,Nord Est,Cocotier,Cocotier,296,29,206,111,114,1,757
Province Nord,Nord Est,Cultures spéciales,Autre culture spéciale (à préciser),0,0,0,0,0,0,0
Province Nord,Nord Est,Cultures spéciales,Café arabica,0,0,0,0,0,0,0
Province Nord,Nord Est,Cultures spéciales,Café robusta,0,0,1,0,2,0,3
Province Nord,Nord Est,Cultures spéciales,Canne à sucre,1,17,73,34,9,0,134
Province Nord,Nord Est,Cultures spéciales,Citronnelle,0,0,0,0,0,0,0
Province Nord,Nord Est,Cultures spéciales,Vanille,0,0,0,0,0,0,0
Province Nord,Nord Est,Légume & fruit plein champ,Ambrevade,0,0,7,4,1,0,12
Province Nord,Nord Est,Légume & fruit plein champ,Ananas,0,6,26,34,16,0,82
Province Nord,Nord Est,Légume & fruit plein champ,Aubergine,0,0,0,0,0,0,0
Province Nord,Nord Est,Légume & fruit plein champ,Autres légumes (à préciser),0,0,0,0,0,0,0
Province Nord,Nord Est,Légume & fruit plein champ,Brèdes,0,0,1,0,0,0,1
Province Nord,Nord Est,Légume & fruit plein champ,Carotte,0,0,1,0,0,0,1
Province Nord,Nord Est,Légume & fruit plein champ,Chou de chine,0,0,2,1,0,0,3
Province Nord,Nord Est,Légume & fruit plein champ,Chou kanak,0,2,22,5,1,0,30
Province Nord,Nord Est,Légume & fruit plein champ,Chou rouge,0,0,1,0,0,0,1
Province Nord,Nord Est,Légume & fruit plein champ,Chou vert,0,0,1,0,0,0,1
Province Nord,Nord Est,Légume & fruit plein champ,Chouchoute,4,5,29,18,23,1,80
Province Nord,Nord Est,Légume & fruit plein champ,Citrouille,0,4,14,7,6,0,31
Province Nord,Nord Est,Légume & fruit plein champ,Concombre,0,0,2,2,0,0,4
Province Nord,Nord Est,Légume & fruit plein champ,Courgette,0,0,0,0,0,0,0
Province Nord,Nord Est,Légume & fruit plein champ,Céleri,0,0,0,0,0,0,0
Province Nord,Nord Est,Légume & fruit plein champ,Fines herbes,0,0,0,0,0,0,0
Province Nord,Nord Est,Légume & fruit plein champ,Fraise,0,0,0,0,0,0,0
Province Nord,Nord Est,Légume & fruit plein champ,Framboisier,0,0,0,0,0,0,0
Province Nord,Nord Est,Légume & fruit plein champ,Haricot toutes sortes,0,0,0,0,0,0,0
Province Nord,Nord Est,Légume & fruit plein champ,Haricot vert,0,0,2,1,0,0,3
Province Nord,Nord Est,Légume & fruit plein champ,Maïs doux,0,0,2,1,0,0,3
Province Nord,Nord Est,Légume & fruit plein champ,Melon,0,0,0,0,0,0,0
Province Nord,Nord Est,Légume & fruit plein champ,Navet,0,0,0,0,0,0,0
Province Nord,Nord Est,Légume & fruit plein champ,Oignon vert,0,0,0,0,0,0,0
Province Nord,Nord Est,Légume & fruit plein champ,Pastèque,0,0,1,0,0,0,1
Province Nord,Nord Est,Légume & fruit plein champ,Persil,0,0,0,0,0,0,0
Province Nord,Nord Est,Légume & fruit plein champ,Piment,0,0,0,0,0,0,0
Province Nord,Nord Est,Légume & fruit plein champ,Poireau,0,0,0,0,0,0,0
Province Nord,Nord Est,Légume & fruit plein champ,Poivron,0,0,0,0,0,0,0
Province Nord,Nord Est,Légume & fruit plein champ,Pomme de terre,0,0,2,1,0,0,3
Province Nord,Nord Est,Légume & fruit plein champ,Pomme liane,0,0,3,2,3,0,8
Province Nord,Nord Est,Légume & fruit plein champ,Radis,0,0,0,0,0,0,0
Province Nord,Nord Est,Légume & fruit plein champ,Salade,0,1,4,1,0,0,6
Province Nord,Nord Est,Légume & fruit plein champ,Tomate,0,1,6,3,1,0,11
Province Nord,Nord Est,Pépinière et ornement,Arbres d'ornement,0,0,0,0,0,0,0
Province Nord,Nord Est,Pépinière et ornement,Pépinière de plein champ,0,0,0,0,0,0,0
Province Nord,Nord Est,Tubercule,Autre tubercule tropical (à préciser),0,0,0,0,0,0,0
Province Nord,Nord Est,Tubercule,Igname de saison,0,313,287,93,56,219,968
Province Nord,Nord Est,Tubercule,Manioc,1,180,297,106,50,4,638
Province Nord,Nord Est,Tubercule,Patate douce,0,11,18,6,7,1,43
