annee,date_arrondie,variete,categorie,prix_moyen
2018,2018-04-01,Chou-Fleur,Prix moyen du produit importé en magasin,644.65625
2018,2018-04-01,Chou-Fleur,Prix moyen du produit local en magasin,663.4918032786885
2018,2018-04-01,Chouchoute,Prix moyen du produit local en magasin,330.8076923076923
2018,2018-04-01,"Citron, Lime",Prix moyen du produit local en magasin,504.6697819314642
2018,2018-04-01,Concombre,Prix moyen du produit importé en magasin,380.17391304347825
2018,2018-04-01,Concombre,Prix moyen du produit local en magasin,286.21379310344827
2018,2018-04-01,Courgette,Prix moyen du produit importé en magasin,423.6078431372549
2018,2018-04-01,Courgette,Prix moyen du produit local en magasin,567.1871921182266
2018,2018-04-01,Céleri,Prix moyen du produit importé en magasin,591.1538461538462
2018,2018-04-01,Céleri,Prix moyen du produit local en magasin,565.0196078431372
2018,2018-04-01,Letchi,Prix moyen du produit local en magasin,838.375
2018,2018-04-01,"Mandarine, Clémentine",Prix moyen du produit importé en magasin,750.9310344827586
2018,2018-04-01,"Mandarine, Clémentine",Prix moyen du produit local en magasin,720.1953125
2018,2018-04-01,Mangue,Prix moyen du produit local en magasin,574.7222222222222
2018,2018-04-01,Melon,Prix moyen du produit importé en magasin,588.2241379310345
2018,2018-04-01,Melon,Prix moyen du produit local en magasin,685.9629629629629
2018,2018-04-01,Navet,Prix moyen du produit local en magasin,408
2018,2018-04-01,Nectarine,Prix moyen du produit importé en magasin,687.2083333333334
2018,2018-04-01,Oignons,Prix moyen du produit importé en magasin,244.9877049180328
2018,2018-04-01,Oignons,Prix moyen du produit local en magasin,277.15584415584414
2018,2018-04-01,Orange,Prix moyen du produit importé en magasin,496.6111111111111
2018,2018-04-01,Orange,Prix moyen du produit local en magasin,475.33714285714285
2018,2018-04-01,"Pamplemousse, Pomélo",Prix moyen du produit importé en magasin,422.10526315789474
2018,2018-04-01,"Pamplemousse, Pomélo",Prix moyen du produit local en magasin,414.8525641025641
2018,2018-04-01,Papaye,Prix moyen du produit local en magasin,286.5244755244755
2018,2018-04-01,Pastèque,Prix moyen du produit importé en magasin,376.6666666666667
2018,2018-04-01,Pastèque,Prix moyen du produit local en magasin,354.07428571428574
2018,2018-04-01,Patate Douce,Prix moyen du produit local en magasin,738.7267080745341
2018,2018-04-01,Persil,Prix moyen du produit local en magasin,170.64
2018,2018-04-01,Poireau,Prix moyen du produit importé en magasin,795.1041666666666
2018,2018-04-01,Poireau,Prix moyen du produit local en magasin,757.5842696629213
2018,2018-04-01,Poivron,Prix moyen du produit importé en magasin,834.0207715133531
2018,2018-04-01,Poivron,Prix moyen du produit local en magasin,827.4625668449198
2018,2018-04-01,Radis,Prix moyen du produit importé en magasin,458.65384615384613
2018,2018-04-01,Radis,Prix moyen du produit local en magasin,465.36538461538464
2018,2018-04-01,Salade,Prix moyen du produit local en magasin,572.1375464684015
2018,2018-04-01,Tomate,Prix moyen du produit importé en magasin,591.5967741935484
2018,2018-04-01,Tomate,Prix moyen du produit local en magasin,625.1454545454545
2018,2018-05-01,Ail,Prix moyen du produit importé en magasin,490
2018,2018-05-01,Ananas,Prix moyen du produit importé en magasin,744.7619047619048
2018,2018-05-01,Ananas,Prix moyen du produit local en magasin,738.5157894736842
2018,2018-05-01,Aubergine,Prix moyen du produit importé en magasin,523.5714285714286
2018,2018-05-01,Aubergine,Prix moyen du produit local en magasin,622.6691176470588
2018,2018-05-01,Banane,Prix moyen du produit local en magasin,585.2627118644068
2018,2018-05-01,Brocoli,Prix moyen du produit importé en magasin,787.5526315789474
2018,2018-05-01,Brocoli,Prix moyen du produit local en magasin,749.1348314606741
2018,2018-05-01,Carotte,Prix moyen du produit importé en magasin,257.36470588235295
2018,2018-05-01,Carotte,Prix moyen du produit local en magasin,281.6371681415929
2018,2018-05-01,Chou De Chine,Prix moyen du produit importé en magasin,545.7894736842105
2018,2018-05-01,Chou De Chine,Prix moyen du produit local en magasin,506.07216494845363
2018,2018-05-01,Chou Rouge,Prix moyen du produit importé en magasin,495.38461538461536
2018,2018-05-01,Chou Rouge,Prix moyen du produit local en magasin,476.8051948051948
2018,2018-05-01,Chou-Fleur,Prix moyen du produit importé en magasin,641.0172413793103
2018,2018-05-01,Chou-Fleur,Prix moyen du produit local en magasin,649.5370370370371
2018,2018-05-01,Chouchoute,Prix moyen du produit local en magasin,360.9347826086956
2018,2018-05-01,"Citron, Lime",Prix moyen du produit local en magasin,496.7567567567568
2018,2018-05-01,Concombre,Prix moyen du produit importé en magasin,383.1470588235294
2018,2018-05-01,Concombre,Prix moyen du produit local en magasin,302.5673758865248
2018,2018-05-01,Courgette,Prix moyen du produit importé en magasin,364.10714285714283
2018,2018-05-01,Courgette,Prix moyen du produit local en magasin,563.5443037974684
2018,2018-05-01,Céleri,Prix moyen du produit importé en magasin,595
2018,2018-05-01,Céleri,Prix moyen du produit local en magasin,587.8571428571429
2018,2018-05-01,Letchi,Prix moyen du produit local en magasin,749.0571428571428
2018,2018-05-01,"Mandarine, Clémentine",Prix moyen du produit importé en magasin,766
2018,2018-05-01,"Mandarine, Clémentine",Prix moyen du produit local en magasin,746.8686868686868
2018,2018-05-01,Mangue,Prix moyen du produit local en magasin,581.6274509803922
2018,2018-05-01,Melon,Prix moyen du produit importé en magasin,601.6153846153846
2018,2018-05-01,Melon,Prix moyen du produit local en magasin,717.3365384615385
2018,2018-05-01,Navet,Prix moyen du produit local en magasin,425.46590909090907
2018,2018-05-01,Nectarine,Prix moyen du produit importé en magasin,645
2018,2018-05-01,Oignons,Prix moyen du produit importé en magasin,242.99404761904762
2018,2018-05-01,Oignons,Prix moyen du produit local en magasin,295.3414634146341
2018,2018-05-01,Orange,Prix moyen du produit importé en magasin,561.7733333333333
2018,2018-05-01,Orange,Prix moyen du produit local en magasin,497.8467741935484
2018,2018-05-01,"Pamplemousse, Pomélo",Prix moyen du produit importé en magasin,345.77777777777777
2018,2018-05-01,"Pamplemousse, Pomélo",Prix moyen du produit local en magasin,391.3921568627451
2018,2018-05-01,Papaye,Prix moyen du produit local en magasin,293.3796296296296
2018,2018-05-01,Pastèque,Prix moyen du produit importé en magasin,355.8333333333333
2018,2018-05-01,Pastèque,Prix moyen du produit local en magasin,315.650406504065
2018,2018-05-01,Patate Douce,Prix moyen du produit local en magasin,718.5384615384615
2018,2018-05-01,Persil,Prix moyen du produit local en magasin,162
2018,2018-05-01,Poireau,Prix moyen du produit importé en magasin,758.7021276595744
2018,2018-05-01,Poireau,Prix moyen du produit local en magasin,777.1948051948052
2018,2018-05-01,Poivron,Prix moyen du produit importé en magasin,850.55859375
2018,2018-05-01,Poivron,Prix moyen du produit local en magasin,835.3677419354839
2018,2018-05-01,Radis,Prix moyen du produit importé en magasin,507.02702702702703
2018,2018-05-01,Radis,Prix moyen du produit local en magasin,466.12280701754383
2018,2018-05-01,Salade,Prix moyen du produit importé en magasin,2025
2018,2018-05-01,Salade,Prix moyen du produit local en magasin,553.408695652174
2018,2018-05-01,Tomate,Prix moyen du produit importé en magasin,915.0697674418604
2018,2018-05-01,Tomate,Prix moyen du produit local en magasin,649.3064516129032
2018,2018-06-01,Ail,Prix moyen du produit importé en magasin,275.94594594594594
2018,2018-06-01,Ananas,Prix moyen du produit importé en magasin,640.6551724137931
2018,2018-06-01,Ananas,Prix moyen du produit local en magasin,775.8173076923077
2018,2018-06-01,Aubergine,Prix moyen du produit importé en magasin,566
2018,2018-06-01,Aubergine,Prix moyen du produit local en magasin,639.1161290322581
2018,2018-06-01,Banane,Prix moyen du produit local en magasin,610.0675675675676
2018,2018-06-01,Brocoli,Prix moyen du produit importé en magasin,786.025974025974
2018,2018-06-01,Brocoli,Prix moyen du produit local en magasin,762.6111111111111
2018,2018-06-01,Carotte,Prix moyen du produit importé en magasin,195.30555555555554
2018,2018-06-01,Carotte,Prix moyen du produit local en magasin,241.56302521008402
2018,2018-06-01,Chou De Chine,Prix moyen du produit importé en magasin,480.4918032786885
2018,2018-06-01,Chou De Chine,Prix moyen du produit local en magasin,364.03333333333336
2018,2018-06-01,Chou Rouge,Prix moyen du produit importé en magasin,518.0987654320987
2018,2018-06-01,Chou Rouge,Prix moyen du produit local en magasin,463.1219512195122
2018,2018-06-01,Chou-Fleur,Prix moyen du produit importé en magasin,607.3484848484849
2018,2018-06-01,Chou-Fleur,Prix moyen du produit local en magasin,631.1527777777778
2018,2018-06-01,Chouchoute,Prix moyen du produit local en magasin,361.84615384615387
2018,2018-06-01,"Citron, Lime",Prix moyen du produit local en magasin,533.9767441860465
2018,2018-06-01,Concombre,Prix moyen du produit importé en magasin,363.45
2018,2018-06-01,Concombre,Prix moyen du produit local en magasin,285.40752351097177
2018,2018-06-01,Courgette,Prix moyen du produit importé en magasin,391.9230769230769
2018,2018-06-01,Courgette,Prix moyen du produit local en magasin,566.7791411042945
2018,2018-06-01,Céleri,Prix moyen du produit importé en magasin,493.36
2018,2018-06-01,Céleri,Prix moyen du produit local en magasin,554.6376811594203
2018,2018-06-01,Letchi,Prix moyen du produit local en magasin,744.1666666666666
2018,2018-06-01,"Mandarine, Clémentine",Prix moyen du produit importé en magasin,686.4311926605504
2018,2018-06-01,"Mandarine, Clémentine",Prix moyen du produit local en magasin,674.1139240506329
2018,2018-06-01,Mangue,Prix moyen du produit local en magasin,588.53125
2018,2018-06-01,Melon,Prix moyen du produit importé en magasin,615.6666666666666
2018,2018-06-01,Melon,Prix moyen du produit local en magasin,750
2018,2018-06-01,Navet,Prix moyen du produit local en magasin,397.85714285714283
2018,2018-06-01,Nectarine,Prix moyen du produit importé en magasin,666.448275862069
2018,2018-06-01,Oignons,Prix moyen du produit importé en magasin,249.26190476190476
2018,2018-06-01,Oignons,Prix moyen du produit local en magasin,240.64227642276424
2018,2018-06-01,Orange,Prix moyen du produit importé en magasin,562.8350515463917
2018,2018-06-01,Orange,Prix moyen du produit local en magasin,508.19166666666666
2018,2018-06-01,"Pamplemousse, Pomélo",Prix moyen du produit importé en magasin,325.7037037037037
2018,2018-06-01,"Pamplemousse, Pomélo",Prix moyen du produit local en magasin,355.12582781456956
2018,2018-06-01,Papaye,Prix moyen du produit local en magasin,297.70093457943926
2018,2018-06-01,Pastèque,Prix moyen du produit importé en magasin,295.9166666666667
2018,2018-06-01,Pastèque,Prix moyen du produit local en magasin,279.9054054054054
2018,2018-06-01,Patate Douce,Prix moyen du produit local en magasin,715.8857142857142
2018,2018-06-01,Persil,Prix moyen du produit local en magasin,171.3030303030303
2018,2018-06-01,Poireau,Prix moyen du produit importé en magasin,814.8181818181819
2018,2018-06-01,Poireau,Prix moyen du produit local en magasin,797.0138888888889
2018,2018-06-01,Poivron,Prix moyen du produit importé en magasin,868.2904884318766
2018,2018-06-01,Poivron,Prix moyen du produit local en magasin,863.1148459383753
2018,2018-06-01,Radis,Prix moyen du produit importé en magasin,462
2018,2018-06-01,Radis,Prix moyen du produit local en magasin,467.2068965517241
2018,2018-06-01,Salade,Prix moyen du produit importé en magasin,2025
2018,2018-06-01,Salade,Prix moyen du produit local en magasin,471.1504424778761
2018,2018-06-01,Tomate,Prix moyen du produit importé en magasin,1262.367088607595
2018,2018-06-01,Tomate,Prix moyen du produit local en magasin,619.4173228346457
2018,2018-07-01,Ail,Prix moyen du produit importé en magasin,374.2105263157895
2018,2018-07-01,Ananas,Prix moyen du produit importé en magasin,428.875
2018,2018-07-01,Ananas,Prix moyen du produit local en magasin,841.3068181818181
2018,2018-07-01,Aubergine,Prix moyen du produit importé en magasin,600
2018,2018-07-01,Aubergine,Prix moyen du produit local en magasin,642.2625698324023
2018,2018-07-01,Banane,Prix moyen du produit local en magasin,619.2735849056604
2018,2018-07-01,Brocoli,Prix moyen du produit importé en magasin,802.9746835443038
2018,2018-07-01,Brocoli,Prix moyen du produit local en magasin,758.640625
2018,2018-07-01,Carotte,Prix moyen du produit importé en magasin,298.1782178217822
2018,2018-07-01,Carotte,Prix moyen du produit local en magasin,337.39495798319325
2018,2018-07-01,Chou De Chine,Prix moyen du produit importé en magasin,386.6666666666667
2018,2018-07-01,Chou De Chine,Prix moyen du produit local en magasin,326.4679802955665
2018,2018-07-01,Chou Rouge,Prix moyen du produit importé en magasin,427.2647058823529
2018,2018-07-01,Chou Rouge,Prix moyen du produit local en magasin,414.4230769230769
2018,2018-07-01,Chou-Fleur,Prix moyen du produit importé en magasin,628.7906976744187
2018,2018-07-01,Chou-Fleur,Prix moyen du produit local en magasin,607.6935483870968
2018,2018-07-01,Chouchoute,Prix moyen du produit local en magasin,358.421568627451
2018,2018-07-01,"Citron, Lime",Prix moyen du produit local en magasin,572.6457142857142
2018,2018-07-01,Concombre,Prix moyen du produit importé en magasin,253.3709677419355
2018,2018-07-01,Concombre,Prix moyen du produit local en magasin,224.65098039215687
2018,2018-07-01,Courgette,Prix moyen du produit importé en magasin,653
2018,2018-07-01,Courgette,Prix moyen du produit local en magasin,585.1444444444444
2018,2018-07-01,Céleri,Prix moyen du produit importé en magasin,641.75
2018,2018-07-01,Céleri,Prix moyen du produit local en magasin,626.5714285714286
2018,2018-07-01,"Mandarine, Clémentine",Prix moyen du produit importé en magasin,671.3421052631579
2018,2018-07-01,"Mandarine, Clémentine",Prix moyen du produit local en magasin,702.9150943396227
2018,2018-07-01,Mangue,Prix moyen du produit local en magasin,635.9090909090909
2018,2018-07-01,Melon,Prix moyen du produit importé en magasin,573.2641509433962
2018,2018-07-01,Melon,Prix moyen du produit local en magasin,741.6060606060606
2018,2018-07-01,Navet,Prix moyen du produit local en magasin,269.57272727272726
2018,2018-07-01,Nectarine,Prix moyen du produit importé en magasin,760
2018,2018-07-01,Oignons,Prix moyen du produit importé en magasin,231.75824175824175
2018,2018-07-01,Oignons,Prix moyen du produit local en magasin,237.25925925925927
2018,2018-07-01,Orange,Prix moyen du produit importé en magasin,512.9454545454546
2018,2018-07-01,Orange,Prix moyen du produit local en magasin,488.05384615384617
2018,2018-07-01,"Pamplemousse, Pomélo",Prix moyen du produit importé en magasin,318.21875
2018,2018-07-01,"Pamplemousse, Pomélo",Prix moyen du produit local en magasin,305.02247191011236
2018,2018-07-01,Papaye,Prix moyen du produit local en magasin,278.9428571428571
2018,2018-07-01,Pastèque,Prix moyen du produit importé en magasin,342
2018,2018-07-01,Pastèque,Prix moyen du produit local en magasin,319.60869565217394
2018,2018-07-01,Patate Douce,Prix moyen du produit local en magasin,736.5058823529412
2018,2018-07-01,Persil,Prix moyen du produit local en magasin,171.55555555555554
2018,2018-07-01,Poireau,Prix moyen du produit importé en magasin,698.5142857142857
2018,2018-07-01,Poireau,Prix moyen du produit local en magasin,867.5945945945946
2018,2018-07-01,Poivron,Prix moyen du produit importé en magasin,961.0663265306123
2018,2018-07-01,Poivron,Prix moyen du produit local en magasin,996.9030612244898
2018,2018-07-01,Radis,Prix moyen du produit importé en magasin,490.3103448275862
2018,2018-07-01,Radis,Prix moyen du produit local en magasin,460.8484848484849
2018,2018-07-01,Salade,Prix moyen du produit importé en magasin,2025
2018,2018-07-01,Salade,Prix moyen du produit local en magasin,407.90821256038646
2018,2018-07-01,Tomate,Prix moyen du produit importé en magasin,581.1351351351351
2018,2018-07-01,Tomate,Prix moyen du produit local en magasin,644.9629629629629
2018,2018-08-01,Ail,Prix moyen du produit importé en magasin,407.2
2018,2018-08-01,Ananas,Prix moyen du produit importé en magasin,711.6923076923077
2018,2018-08-01,Ananas,Prix moyen du produit local en magasin,822.6578947368421
2018,2018-08-01,Aubergine,Prix moyen du produit importé en magasin,548
2018,2018-08-01,Aubergine,Prix moyen du produit local en magasin,581.4912280701755
2018,2018-08-01,Banane,Prix moyen du produit local en magasin,628.7722772277227
2018,2018-08-01,Brocoli,Prix moyen du produit importé en magasin,736.1864406779661
2018,2018-08-01,Brocoli,Prix moyen du produit local en magasin,690.4615384615385
2018,2018-08-01,Carotte,Prix moyen du produit importé en magasin,364.64406779661016
2018,2018-08-01,Carotte,Prix moyen du produit local en magasin,366.0462962962963
2018,2018-08-01,Chou De Chine,Prix moyen du produit importé en magasin,287.73333333333335
2018,2018-08-01,Chou De Chine,Prix moyen du produit local en magasin,290.2684563758389
2018,2018-08-01,Chou Rouge,Prix moyen du produit importé en magasin,409.5
2018,2018-08-01,Chou Rouge,Prix moyen du produit local en magasin,409.1384615384615
2018,2018-08-01,Chou-Fleur,Prix moyen du produit importé en magasin,414.6585365853659
2018,2018-08-01,Chou-Fleur,Prix moyen du produit local en magasin,405.8493150684931
2018,2018-08-01,Chouchoute,Prix moyen du produit local en magasin,366.5
2018,2018-08-01,"Citron, Lime",Prix moyen du produit local en magasin,602.4
2018,2018-08-01,Concombre,Prix moyen du produit importé en magasin,222.6734693877551
2018,2018-08-01,Concombre,Prix moyen du produit local en magasin,202.6556603773585
2018,2018-08-01,Courgette,Prix moyen du produit importé en magasin,660.1111111111111
2018,2018-08-01,Courgette,Prix moyen du produit local en magasin,588.820809248555
2018,2018-08-01,Céleri,Prix moyen du produit importé en magasin,532.6086956521739
2018,2018-08-01,Céleri,Prix moyen du produit local en magasin,532.3076923076923
2018,2018-08-01,Letchi,Prix moyen du produit local en magasin,895
2018,2018-08-01,"Mandarine, Clémentine",Prix moyen du produit importé en magasin,649.8636363636364
2018,2018-08-01,"Mandarine, Clémentine",Prix moyen du produit local en magasin,683
2018,2018-08-01,Mangue,Prix moyen du produit local en magasin,632
2018,2018-08-01,Melon,Prix moyen du produit importé en magasin,597.1290322580645
2018,2018-08-01,Melon,Prix moyen du produit local en magasin,830.304347826087
2018,2018-08-01,Navet,Prix moyen du produit local en magasin,215.24761904761905
2018,2018-08-01,Nectarine,Prix moyen du produit importé en magasin,724.7058823529412
2018,2018-08-01,Oignons,Prix moyen du produit importé en magasin,285.89285714285717
2018,2018-08-01,Oignons,Prix moyen du produit local en magasin,356.02127659574467
2018,2018-08-01,Orange,Prix moyen du produit importé en magasin,508.9146341463415
2018,2018-08-01,Orange,Prix moyen du produit local en magasin,481.3541666666667
2018,2018-08-01,"Pamplemousse, Pomélo",Prix moyen du produit importé en magasin,308.037037037037
2018,2018-08-01,"Pamplemousse, Pomélo",Prix moyen du produit local en magasin,298.86538461538464
2018,2018-08-01,Papaye,Prix moyen du produit local en magasin,261.64814814814815
2018,2018-08-01,Pastèque,Prix moyen du produit importé en magasin,345
2018,2018-08-01,Pastèque,Prix moyen du produit local en magasin,341.0365853658537
2018,2018-08-01,Patate Douce,Prix moyen du produit local en magasin,790.3859649122807
2018,2018-08-01,Persil,Prix moyen du produit local en magasin,182.31578947368422
2018,2018-08-01,Poireau,Prix moyen du produit importé en magasin,1002.5744680851063
2018,2018-08-01,Poireau,Prix moyen du produit local en magasin,924.3584905660377
2018,2018-08-01,Poivron,Prix moyen du produit importé en magasin,941.5163043478261
2018,2018-08-01,Poivron,Prix moyen du produit local en magasin,938.4670050761422
2018,2018-08-01,Radis,Prix moyen du produit importé en magasin,537.125
2018,2018-08-01,Radis,Prix moyen du produit local en magasin,456.73333333333335
2018,2018-08-01,Salade,Prix moyen du produit importé en magasin,2025
2018,2018-08-01,Salade,Prix moyen du produit local en magasin,362.2556818181818
2018,2018-08-01,Tomate,Prix moyen du produit importé en magasin,600.5555555555555
2018,2018-08-01,Tomate,Prix moyen du produit local en magasin,646.2857142857143
2018,2018-09-01,Ail,Prix moyen du produit importé en magasin,423.3018867924528
2018,2018-09-01,Ananas,Prix moyen du produit importé en magasin,792.7272727272727
2018,2018-09-01,Ananas,Prix moyen du produit local en magasin,848.0232558139535
2018,2018-09-01,Aubergine,Prix moyen du produit importé en magasin,451.85714285714283
2018,2018-09-01,Aubergine,Prix moyen du produit local en magasin,424.11299435028246
2018,2018-09-01,Banane,Prix moyen du produit local en magasin,613.4851485148515
2018,2018-09-01,Brocoli,Prix moyen du produit importé en magasin,661.7234042553191
2018,2018-09-01,Brocoli,Prix moyen du produit local en magasin,611.0322580645161
2018,2018-09-01,Carotte,Prix moyen du produit importé en magasin,364.7916666666667
2018,2018-09-01,Carotte,Prix moyen du produit local en magasin,327.2475247524753
2018,2018-09-01,Chou De Chine,Prix moyen du produit importé en magasin,226.58823529411765
2018,2018-09-01,Chou De Chine,Prix moyen du produit local en magasin,217.23417721518987
2018,2018-09-01,Chou Rouge,Prix moyen du produit importé en magasin,354.5192307692308
2018,2018-09-01,Chou Rouge,Prix moyen du produit local en magasin,370.9
2018,2018-09-01,Chou-Fleur,Prix moyen du produit importé en magasin,456.1521739130435
2018,2018-09-01,Chou-Fleur,Prix moyen du produit local en magasin,428
2018,2018-09-01,Chouchoute,Prix moyen du produit local en magasin,318.2717391304348
2018,2018-09-01,"Citron, Lime",Prix moyen du produit local en magasin,700.7391304347826
2018,2018-09-01,Concombre,Prix moyen du produit importé en magasin,235
2018,2018-09-01,Concombre,Prix moyen du produit local en magasin,201.4795918367347
2018,2018-09-01,Courgette,Prix moyen du produit importé en magasin,582.2857142857143
2018,2018-09-01,Courgette,Prix moyen du produit local en magasin,557.6629213483146
2018,2018-09-01,Céleri,Prix moyen du produit importé en magasin,469.25
2018,2018-09-01,Céleri,Prix moyen du produit local en magasin,478.5686274509804
2018,2018-09-01,"Mandarine, Clémentine",Prix moyen du produit importé en magasin,688.6585365853658
2018,2018-09-01,"Mandarine, Clémentine",Prix moyen du produit local en magasin,729.1666666666666
2018,2018-09-01,Mangue,Prix moyen du produit local en magasin,680
2018,2018-09-01,Melon,Prix moyen du produit importé en magasin,626.9047619047619
2018,2018-09-01,Melon,Prix moyen du produit local en magasin,752.9629629629629
2018,2018-09-01,Navet,Prix moyen du produit local en magasin,273.54347826086956
2018,2018-09-01,Nectarine,Prix moyen du produit importé en magasin,713.9705882352941
2018,2018-09-01,Oignons,Prix moyen du produit importé en magasin,356.48387096774195
2018,2018-09-01,Oignons,Prix moyen du produit local en magasin,366.6949152542373
2018,2018-09-01,Orange,Prix moyen du produit importé en magasin,507.11267605633805
2018,2018-09-01,Orange,Prix moyen du produit local en magasin,477.6265060240964
2018,2018-09-01,"Pamplemousse, Pomélo",Prix moyen du produit importé en magasin,293.3636363636364
2018,2018-09-01,"Pamplemousse, Pomélo",Prix moyen du produit local en magasin,309.6363636363636
2018,2018-09-01,Papaye,Prix moyen du produit local en magasin,265.9574468085106
2018,2018-09-01,Pastèque,Prix moyen du produit importé en magasin,345
2018,2018-09-01,Pastèque,Prix moyen du produit local en magasin,309.9107142857143
2018,2018-09-01,Patate Douce,Prix moyen du produit local en magasin,772.1470588235294
2018,2018-09-01,Persil,Prix moyen du produit local en magasin,163
